,elo
SEA,1754.193268143523
BUF,1678.0987743321684
LA,1667.5829266287778
DEN,1665.7410127171024
HOU,1652.7337867400124
PHI,1630.323045889509
NE,1625.7092980570915
DET,1599.477589852182
JAX,1585.8126685375942
BAL,1584.667140111068
MIN,1582.803623207636
SF,1581.901447910171
GB,1555.1107880055624
LAC,1539.4685927140654
CHI,1532.7588957421285
PIT,1521.2833552217944
KC,1519.4701701913327
STL,1498.0699236887008
SD,1492.124564877466
TB,1479.5819724658058
OAK,1479.3015092451728
CIN,1469.2488232802089
IND,1441.960578306825
ATL,1441.391162900393
WAS,1433.3904724854742
DAL,1432.7537239098694
MIA,1432.0817131708588
NO,1389.1471471272032
CAR,1371.1652257611051
CLE,1367.380297219864
NYG,1365.3993455846864
ARI,1330.7711468688808
NYJ,1279.6705181828656
LV,1263.0443384645262
TEN,1256.3811524583748
