first_seen_utc,season,week,game,name,market,side,line,pick
2026-09-04T23:50:16+00:00,2026,1,NE@SEA,Jared Dubin (CBS Sports),spread,SEA,-3.5,SEA -3.5
2026-09-04T23:50:16+00:00,2026,1,NE@SEA,Ryan Wilson (CBS Sports),spread,SEA,-3.5,SEA -3.5
2026-09-04T23:50:16+00:00,2026,1,NE@SEA,Micah Roberts (CBS Sports/SportsLine),spread,SEA,-4.5,SEA -4.5
2026-09-04T23:50:16+00:00,2026,1,NE@SEA,Matt Severance (CBS Sports/SportsLine),total,under,45.5,Under 45.5
2026-09-04T23:50:16+00:00,2026,1,NE@SEA,Jason Logan (Covers),spread,SEA,-3.5,SEA -3.5
2026-09-04T23:50:16+00:00,2026,1,NE@SEA,Julian Edlow (DraftKings Network),spread,SEA,-3.5,SEA -3.5
2026-09-04T23:50:16+00:00,2026,1,SF@LA,Jared Dubin (CBS Sports),spread,LA,-3.5,LA -3.5
2026-09-04T23:50:16+00:00,2026,1,SF@LA,Ryan Wilson (CBS Sports),spread,LA,-3.5,LA -3.5
2026-09-04T23:50:16+00:00,2026,1,SF@LA,Tyler Sullivan (CBS Sports),spread,SF,3.5,SF +3.5
2026-09-04T23:50:16+00:00,2026,1,SF@LA,Jason Logan (Covers),total,under,48.5,Under 48.5
2026-09-04T23:50:16+00:00,2026,1,CHI@CAR,Jared Dubin (CBS Sports),spread,CHI,-2.5,CHI -2.5
2026-09-04T23:50:16+00:00,2026,1,CHI@CAR,Ryan Wilson (CBS Sports),spread,CHI,-2.5,CHI -2.5
2026-09-04T23:50:16+00:00,2026,1,CHI@CAR,Tyler Sullivan (CBS Sports),spread,CHI,-2.5,CHI -2.5
2026-09-04T23:50:16+00:00,2026,1,CHI@CAR,Jason Logan (Covers),spread,CHI,-2.5,CHI -2.5
2026-09-04T23:50:16+00:00,2026,1,TB@CIN,Jared Dubin (CBS Sports),spread,TB,3.5,TB +3.5
2026-09-04T23:50:16+00:00,2026,1,TB@CIN,Ryan Wilson (CBS Sports),spread,TB,3.5,TB +3.5
2026-09-04T23:50:16+00:00,2026,1,TB@CIN,Tyler Sullivan (CBS Sports),spread,CIN,-3.5,CIN -3.5
2026-09-04T23:50:16+00:00,2026,1,NO@DET,Jared Dubin (CBS Sports),spread,DET,-7.0,DET -7
2026-09-04T23:50:16+00:00,2026,1,NO@DET,Ryan Wilson (CBS Sports),spread,NO,7.0,NO +7
2026-09-04T23:50:16+00:00,2026,1,NO@DET,Tyler Sullivan (CBS Sports),spread,DET,-7.0,DET -7
2026-09-04T23:50:16+00:00,2026,1,NO@DET,Julian Edlow (DraftKings Network),total,over,48.5,Over 48.5
2026-09-04T23:50:16+00:00,2026,1,BUF@HOU,Jared Dubin (CBS Sports),spread,HOU,1.5,HOU +1.5
2026-09-04T23:50:16+00:00,2026,1,BUF@HOU,Ryan Wilson (CBS Sports),spread,BUF,-1.5,BUF -1.5
2026-09-04T23:50:16+00:00,2026,1,BUF@HOU,Tyler Sullivan (CBS Sports),spread,HOU,1.5,HOU +1.5
