week,date,day,game,market,pick,our_num,market_num,gap,tier,result,win_pct
1,2026-09-09,Wednesday,NE@SEA,Spread,NE +3.5,2.4,3.5,-1.1,B,,
1,2026-09-09,Wednesday,NE@SEA,Moneyline,NE,42.7,37.8,4.9,D,,42.7
1,2026-09-09,Wednesday,NE@SEA,Total,OVER 44.5,45.9,44.5,1.4,A,,55.4
1,2026-09-10,Thursday,SF@LA,Spread,LA -3.5,5.7,3.5,2.2,A,,
1,2026-09-10,Thursday,SF@LA,Moneyline,LA,64.9,62.2,2.7,A,,64.9
1,2026-09-10,Thursday,SF@LA,Total,OVER 48.5,54.9,48.5,6.4,A,,72.4
1,2026-09-13,Sunday,CHI@CAR,Spread,CAR +2.5,-2.3,-2.5,0.2,C,,
1,2026-09-13,Sunday,CHI@CAR,Moneyline,CAR,43.9,41.7,2.2,D,,43.9
1,2026-09-13,Sunday,CHI@CAR,Total,OVER 47.5,47.9,47.5,0.4,D,,50.6
1,2026-09-13,Sunday,TB@CIN,Spread,TB +3.5,0.4,3.5,-3.1,A,,
1,2026-09-13,Sunday,TB@CIN,Moneyline,TB,48.6,35.5,13.1,B,,48.6
1,2026-09-13,Sunday,TB@CIN,Total,UNDER 50.5,47.8,50.5,-2.7,A,,59.9
1,2026-09-13,Sunday,NO@DET,Spread,NO +7.0,4.2,7.0,-2.8,A,,
1,2026-09-13,Sunday,NO@DET,Moneyline,NO,38.5,27.4,11.1,D,,38.5
1,2026-09-13,Sunday,NO@DET,Total,UNDER 49.5,41.5,49.5,-8.0,A,,77.7
1,2026-09-13,Sunday,BUF@HOU,Spread,HOU +1.5,0.1,-1.5,1.6,B,,
1,2026-09-13,Sunday,BUF@HOU,Moneyline,HOU,50.3,48.3,2.0,C,,50.3
1,2026-09-13,Sunday,BUF@HOU,Total,OVER 44.5,44.8,44.5,0.3,C,,51.5
1,2026-09-13,Sunday,BAL@IND,Spread,IND +3.5,0.8,-3.5,4.3,A,,
1,2026-09-13,Sunday,BAL@IND,Moneyline,IND,51.8,39.1,12.7,A,,51.8
1,2026-09-13,Sunday,BAL@IND,Total,UNDER 48.5,46.1,48.5,-2.4,A,,59.4
1,2026-09-13,Sunday,CLE@JAX,Spread,JAX -7.5,8.7,7.5,1.2,B,,
1,2026-09-13,Sunday,CLE@JAX,Moneyline,CLE,26.0,22.8,3.2,D,,26.0
1,2026-09-13,Sunday,CLE@JAX,Total,UNDER 40.5,33.5,40.5,-7.0,A,,74.7
1,2026-09-13,Sunday,ATL@PIT,Spread,ATL +3.5,2.4,3.5,-1.1,C,,
1,2026-09-13,Sunday,ATL@PIT,Moneyline,ATL,42.0,37.8,4.2,D,,42.0
1,2026-09-13,Sunday,ATL@PIT,Total,OVER 42.5,44.8,42.5,2.3,A,,58.9
1,2026-09-13,Sunday,NYJ@TEN,Spread,TEN -1.5,5.6,1.5,4.1,A,,
1,2026-09-13,Sunday,NYJ@TEN,Moneyline,TEN,65.6,55.1,10.5,A,,65.6
1,2026-09-13,Sunday,NYJ@TEN,Total,OVER 39.5,45.0,39.5,5.5,A,,69.3
1,2026-09-13,Sunday,ARI@LAC,Spread,ARI +10.5,4.8,10.5,-5.7,A,,
1,2026-09-13,Sunday,ARI@LAC,Moneyline,ARI,36.3,17.8,18.5,D,,36.3
1,2026-09-13,Sunday,ARI@LAC,Total,UNDER 46.5,44.1,46.5,-2.4,A,,58.9
1,2026-09-13,Sunday,MIA@LV,Spread,MIA +3.5,-2.2,3.5,-5.7,A,,
1,2026-09-13,Sunday,MIA@LV,Moneyline,MIA,56.4,36.9,19.5,A,,56.4
1,2026-09-13,Sunday,MIA@LV,Total,OVER 40.5,41.2,40.5,0.7,B,,53.4
1,2026-09-13,Sunday,GB@MIN,Spread,GB +1.5,0.7,1.5,-0.8,B,,
1,2026-09-13,Sunday,GB@MIN,Moneyline,GB,48.7,47.4,1.3,D,,48.7
1,2026-09-13,Sunday,GB@MIN,Total,UNDER 46.5,43.7,46.5,-2.8,A,,59.7
1,2026-09-13,Sunday,WAS@PHI,Spread,PHI -5.5,6.1,5.5,0.6,C,,
1,2026-09-13,Sunday,WAS@PHI,Moneyline,PHI,67.6,65.7,1.9,B,,67.6
1,2026-09-13,Sunday,WAS@PHI,Total,OVER 44.5,46.9,44.5,2.4,A,,59.2
1,2026-09-13,Sunday,DAL@NYG,Spread,NYG +2.5,3.0,-2.5,5.5,A,,
1,2026-09-13,Sunday,DAL@NYG,Moneyline,NYG,58.6,42.8,15.8,A,,58.6
1,2026-09-13,Sunday,DAL@NYG,Total,OVER 48.5,52.6,48.5,4.1,A,,65.0
1,2026-09-14,Monday,DEN@KC,Spread,DEN +3.0,-0.8,3.0,-3.8,A,,
1,2026-09-14,Monday,DEN@KC,Moneyline,DEN,52.5,42.8,9.7,A,,52.5
1,2026-09-14,Monday,DEN@KC,Total,UNDER 42.5,42.0,42.5,-0.5,C,,51.6
