team,win_total,source,as_of
ARI,3.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
ATL,7.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
BAL,11.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
BUF,10.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
CAR,7.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
CHI,9.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
CIN,9.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
CLE,5.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
DAL,9.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
DEN,9.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
DET,10.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
GB,9.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
HOU,9.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
IND,7.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
JAX,9.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
KC,10.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
LA,11.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
LAC,10.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
LV,5.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
MIA,4.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
MIN,8.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
NE,10.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
NO,7.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
NYG,7.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
NYJ,5.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
PHI,10.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
PIT,8.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
SEA,10.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
SF,10.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
TB,8.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
TEN,6.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
WAS,7.5,BetMGM; identical at Sharp Football Analysis,2026-09-01
