week,date,day,game,market,pick,our_num,market_num,gap,tier,result,win_pct,opened_num,opened_tier
2,2026-09-17,Thursday,DET@BUF,Spread,DET +3.5,2.2,3.5,-1.3,D,,,2.2,D
2,2026-09-17,Thursday,DET@BUF,Moneyline,DET,43.9,36.9,7.0,C,,43.9,43.9,C
2,2026-09-17,Thursday,DET@BUF,Total,UNDER 53.5,50.1,53.5,-3.4,D,,61.9,50.1,D
2,2026-09-20,Sunday,CAR@ATL,Spread,ATL +1.5,1.2,-1.5,2.7,D,,,1.2,D
2,2026-09-20,Sunday,CAR@ATL,Moneyline,ATL,53.3,46.8,6.5,C,,53.3,53.3,D
2,2026-09-20,Sunday,CAR@ATL,Total,OVER 43.5,44.2,43.5,0.7,D,,52.2,44.2,D
2,2026-09-20,Sunday,NO@BAL,Spread,BAL -8.5,10.2,8.5,1.7,D,,,10.2,D
2,2026-09-20,Sunday,NO@BAL,Moneyline,BAL,76.0,75.7,0.3,C,,76.0,77.5,C
2,2026-09-20,Sunday,NO@BAL,Total,UNDER 47.5,38.7,47.5,-8.8,D,,79.7,38.7,D
2,2026-09-20,Sunday,MIN@CHI,Spread,MIN +5.5,3.6,5.5,-1.9,D,,,3.6,D
2,2026-09-20,Sunday,MIN@CHI,Moneyline,MIN,40.3,31.5,8.8,C,,40.3,60.5,C
2,2026-09-20,Sunday,MIN@CHI,Total,UNDER 49.5,40.1,49.5,-9.4,D,,81.8,40.1,D
2,2026-09-20,Sunday,CIN@HOU,Spread,CIN +3.0,1.5,3.0,-1.5,D,,,1.5,D
2,2026-09-20,Sunday,CIN@HOU,Moneyline,CIN,45.6,42.8,2.8,C,,45.6,45.6,C
2,2026-09-20,Sunday,CIN@HOU,Total,UNDER 46.5,44.0,46.5,-2.5,D,,58.9,44.0,D
2,2026-09-20,Sunday,PIT@NE,Spread,NE -5.5,6.6,5.5,1.1,D,,,6.6,D
2,2026-09-20,Sunday,PIT@NE,Moneyline,NE,68.5,67.5,1.0,C,,68.5,68.5,C
2,2026-09-20,Sunday,PIT@NE,Total,OVER 41.5,49.5,41.5,8.0,D,,77.6,49.5,D
2,2026-09-20,Sunday,GB@NYJ,Spread,GB -4.5,-6.7,-4.5,-2.2,D,,,-6.7,D
2,2026-09-20,Sunday,GB@NYJ,Moneyline,GB,69.3,66.4,2.9,C,,69.3,69.2,C
2,2026-09-20,Sunday,GB@NYJ,Total,OVER 44.5,49.4,44.5,4.9,D,,67.5,50.9,D
2,2026-09-20,Sunday,CLE@TB,Spread,CLE +8.5,7.7,8.5,-0.8,D,,,7.7,D
2,2026-09-20,Sunday,CLE@TB,Moneyline,CLE,28.7,24.3,4.4,D,,28.7,71.3,C
2,2026-09-20,Sunday,CLE@TB,Total,UNDER 40.5,32.9,40.5,-7.6,D,,76.6,32.9,D
2,2026-09-20,Sunday,PHI@TEN,Spread,TEN +7.0,-6.7,-7.0,0.3,D,,,-6.7,D
2,2026-09-20,Sunday,PHI@TEN,Moneyline,TEN,31.4,27.4,4.0,D,,31.4,69.2,C
2,2026-09-20,Sunday,PHI@TEN,Total,OVER 40.5,41.2,40.5,0.7,D,,53.2,41.2,D
2,2026-09-20,Sunday,JAX@DEN,Spread,JAX +2.5,2.0,2.5,-0.5,D,,,2.0,D
2,2026-09-20,Sunday,JAX@DEN,Moneyline,JAX,44.5,42.8,1.7,C,,44.5,43.4,C
2,2026-09-20,Sunday,JAX@DEN,Total,UNDER 44.5,41.2,44.5,-3.3,D,,61.9,41.2,D
2,2026-09-20,Sunday,LV@LAC,Spread,LAC -7.0,11.1,7.0,4.1,D,,,11.1,D
2,2026-09-20,Sunday,LV@LAC,Moneyline,LAC,79.6,71.4,8.2,C,,79.6,79.3,C
2,2026-09-20,Sunday,LV@LAC,Total,UNDER 44.5,34.8,44.5,-9.7,D,,82.0,34.8,D
2,2026-09-20,Sunday,SEA@ARI,Spread,SEA -4.5,-13.9,-4.5,-9.4,C,,,,
2,2026-09-20,Sunday,SEA@ARI,Moneyline,SEA,84.4,66.4,18.0,C,,84.4,,
2,2026-09-20,Sunday,SEA@ARI,Total,OVER 41.5,42.8,41.5,1.3,D,,55.2,,
2,2026-09-20,Sunday,WAS@DAL,Spread,DAL -3.5,5.6,3.5,2.1,D,,,5.6,D
2,2026-09-20,Sunday,WAS@DAL,Moneyline,DAL,64.7,62.2,2.5,C,,64.7,65.0,C
2,2026-09-20,Sunday,WAS@DAL,Total,OVER 50.5,59.4,50.5,8.9,D,,79.8,59.4,D
2,2026-09-20,Sunday,MIA@SF,Spread,SF -12.5,14.6,12.5,2.1,D,,,14.6,D
2,2026-09-20,Sunday,MIA@SF,Moneyline,MIA,14.5,13.7,0.8,D,,14.5,85.9,C
2,2026-09-20,Sunday,MIA@SF,Total,OVER 46.5,51.6,46.5,5.1,D,,68.1,51.6,D
2,2026-09-20,Sunday,IND@KC,Spread,KC -6.5,8.1,6.5,1.6,D,,,8.1,D
2,2026-09-20,Sunday,IND@KC,Moneyline,KC,71.5,71.4,0.1,C,,71.5,29.0,D
2,2026-09-20,Sunday,IND@KC,Total,UNDER 48.5,45.4,48.5,-3.1,D,,61.2,45.4,D
2,2026-09-21,Monday,NYG@LA,Spread,LA -7.0,10.0,7.0,3.0,D,,,10.0,D
2,2026-09-21,Monday,NYG@LA,Moneyline,LA,75.6,74.4,1.2,C,,75.6,24.7,D
2,2026-09-21,Monday,NYG@LA,Total,OVER 48.5,52.9,48.5,4.4,D,,66.1,52.9,D
