written_utc,season,week,away,home,qb_out,starters_out,confidence,spread_open,spread_at_write,total_open,total_at_write,our_number
2026-09-09T07:00:00+00:00,2026,1,NE,SEA,,,,,3.0,,44.5,2.2
2026-09-09T07:00:00+00:00,2026,1,SF,LA,,,,,3.5,,48.5,2.1
2026-09-09T07:00:00+00:00,2026,1,CHI,CAR,,,,,-3.0,,46.5,-2.6
2026-09-09T07:00:00+00:00,2026,1,TB,CIN,,,,,3.5,,50.5,3.6
2026-09-09T07:00:00+00:00,2026,1,NO,DET,,,,,7.0,,49.5,7.7
2026-09-09T07:00:00+00:00,2026,1,BUF,HOU,,,,,-1.5,,44.5,-0.6
2026-09-09T07:00:00+00:00,2026,1,BAL,IND,,,,,-3.5,,47.5,-6.7
2026-09-09T07:00:00+00:00,2026,1,CLE,JAX,,,,,8.5,,40.5,9.2
2026-09-09T07:00:00+00:00,2026,1,ATL,PIT,,,,,3.5,,42.5,4.1
2026-09-09T07:00:00+00:00,2026,1,NYJ,TEN,,,,,1.5,,39.5,3.6
2026-09-09T07:00:00+00:00,2026,1,ARI,LAC,,,,,9.5,,47.5,15.2
2026-09-09T07:00:00+00:00,2026,1,MIA,LV,,,,,3.5,,40.5,2.9
2026-09-09T07:00:00+00:00,2026,1,GB,MIN,,,,,1.5,,46.5,-0.6
2026-09-09T07:00:00+00:00,2026,1,WAS,PHI,,,,,5.5,,44.5,7.7
2026-09-09T07:00:00+00:00,2026,1,DAL,NYG,,,,,-3.0,,48.5,-2.6
2026-09-09T07:00:00+00:00,2026,1,DEN,KC,,,,,2.5,,43.5,4.3
2026-09-10T12:23:13+00:00,2026,2,DET,BUF,,,,,3.0,,51.5,2.2
2026-09-10T12:23:13+00:00,2026,2,CAR,ATL,,,,,1.5,,43.5,1.2
2026-09-10T12:23:13+00:00,2026,2,NO,BAL,,,,,7.5,,46.5,10.2
2026-09-10T12:23:13+00:00,2026,2,MIN,CHI,,,,,3.0,,45.5,3.6
2026-09-10T12:23:13+00:00,2026,2,CIN,HOU,,,,,2.5,,45.5,1.5
2026-09-10T12:23:13+00:00,2026,2,GB,NYJ,,,,,-5.5,,42.5,-6.7
2026-09-10T12:23:13+00:00,2026,2,CLE,TB,,,,,6.5,,42.5,7.7
2026-09-10T12:23:13+00:00,2026,2,PHI,TEN,,,,,-5.5,,42.5,-6.7
2026-09-10T12:23:13+00:00,2026,2,JAX,DEN,,,,,3.0,,43.5,2.0
2026-09-10T12:23:13+00:00,2026,2,LV,LAC,,,,,9.5,,42.5,11.1
2026-09-10T12:23:13+00:00,2026,2,WAS,DAL,,,,,4.5,,51.5,5.6
